Person i,X,Y,,,,
978,2.072,3.993,,,,
979,1.206,1.880,,,,
980,0.778,0.925,,,,
981,0.813,0.495,,,,
982,1.537,1.443,,,,
983,1.104,1.877,,,,
984,1.179,1.061,,,,
985,2.777,3.816,,,,
986,1.813,3.018,,,,
987,-0.194,-0.484,,,,
988,1.648,2.982,,,,
989,3.281,5.069,,,,
990,0.395,1.145,,,,
991,0.763,1.874,,,,
992,1.486,2.921,,,,
993,1.573,2.515,,,,
994,0.316,-0.498,,,,
995,-0.021,1.013,,,,
996,1.967,2.846,,,,
997,1.091,1.215,,,,
998,2.055,3.319,,,,
999,1.632,2.334,,,,
1000,0.367,0.836,,,,
1001,0.886,2.127,,,,
1002,1.005,2.386,,,,
1003,0.255,0.146,,,,
1004,1.135,1.780,,,,
1005,0.855,0.724,,,,
1006,1.936,2.325,,,,
1007,0.426,1.620,,,,
1008,0.508,1.893,,,,
1009,-0.268,0.139,,,,
1010,0.755,2.044,,,,
1011,0.394,-0.057,,,,
1012,0.941,0.635,,,,
1013,1.596,2.832,,,,
1014,-1.770,-2.069,,,,
1015,1.625,0.946,,,,
1016,2.347,3.879,,,,
1017,1.219,1.624,,,,
1018,0.492,0.499,,,,
1019,1.909,2.396,,,,
1020,1.752,3.695,,,,
1021,0.095,0.491,,,,
1022,0.934,0.737,,,,
1023,0.102,-0.085,,,,
1024,0.165,1.105,,,,
1025,-0.014,0.258,,,,
1026,2.539,4.028,,,,
1027,1.249,1.729,,,,
1028,0.813,0.839,,,,
1029,-1.112,-1.911,,,,
1030,2.094,4.029,,,,
1031,0.303,-0.094,,,,
1032,0.121,0.839,,,,
1033,0.416,1.192,,,,
1034,1.541,2.823,,,,
1035,0.628,0.670,,,,
1036,0.514,1.616,,,,
1037,1.754,2.179,,,,
1038,3.113,4.750,,,,
1039,0.242,0.019,,,,
1040,1.614,2.875,,,,
1041,0.278,0.321,,,,
1042,0.277,0.157,,,,
1043,2.780,4.481,,,,
1044,0.314,0.895,,,,
1045,-0.035,-1.611,,,,
1046,0.998,1.704,,,,
1047,1.794,3.168,,,,
1048,1.209,2.322,,,,
1049,1.426,0.965,,,,
1050,2.511,2.622,,,,
1051,0.443,-0.347,,,,
1052,-0.616,-1.152,,,,
1053,2.219,3.180,,,,
1054,1.802,2.439,,,,
1055,1.748,2.013,,,,
1056,-0.602,-1.768,,,,
1057,1.095,1.750,,,,
1058,2.801,3.702,,,,
1059,0.953,1.441,,,,
1060,0.244,1.039,,,,
1061,-0.174,-1.305,,,,
1062,1.016,0.653,,,,
1063,0.267,0.789,,,,
1064,0.223,0.971,,,,
1065,-0.661,0.092,,,,
1066,-0.349,-0.260,,,,
1067,0.157,0.443,,,,
1068,1.795,2.955,,,,
1069,1.941,2.951,,,,
1070,-0.725,-1.124,,,,
1071,1.633,2.027,,,,
1072,0.780,1.565,,,,
1073,1.011,1.566,,,,
1074,0.709,1.436,,,,
1075,0.112,-0.475,,,,
1076,1.340,1.462,,,,
1077,1.154,1.867,,,,
1078,0.017,-0.381,,,,
1079,0.576,1.736,,,,
1080,0.639,0.734,,,,
1081,1.533,2.200,,,,
1082,0.730,1.316,,,,
1083,1.764,3.016,,,,
1084,1.326,1.154,,,,
1085,2.907,4.140,,,,
1086,-0.225,0.550,,,,
1087,0.759,1.671,,,,
1088,0.788,1.475,,,,
1089,-0.419,-2.269,,,,
1090,1.077,2.722,,,,
1091,0.412,0.243,,,,
1092,1.449,1.297,,,,
1093,0.918,1.961,,,,
1094,1.718,3.164,,,,
1095,2.479,4.368,,,,
1096,1.653,1.727,,,,
1097,0.630,0.739,,,,
1098,3.510,4.637,,,,
1099,1.344,2.068,,,,
1100,0.761,0.882,,,,
1101,1.558,1.975,,,,
1102,1.342,2.293,,,,
1103,1.145,1.717,,,,
1104,0.974,0.567,,,,
1105,1.195,1.452,,,,
1106,-0.555,-0.731,,,,
1107,0.707,-0.092,,,,
1108,2.804,4.610,,,,
1109,-0.163,-0.712,,,,
1110,0.269,-0.019,,,,
1111,-0.883,-1.444,,,,
1112,0.931,1.273,,,,
1113,2.819,4.513,,,,
1114,-1.071,-2.025,,,,
1115,0.560,0.408,,,,
1116,1.965,2.476,,,,
1117,1.215,1.902,,,,
1118,0.477,1.453,,,,
1119,1.441,1.879,,,,
1120,0.968,1.099,,,,
1121,0.431,0.434,,,,
1122,1.717,1.769,,,,
1123,-0.831,-1.578,,,,
1124,1.485,2.175,,,,
1125,1.261,0.740,,,,
1126,-0.092,-0.096,,,,
1127,1.299,2.258,,,,
1128,0.776,1.145,,,,
1129,-0.124,-0.519,,,,
1130,1.658,2.070,,,,
1131,1.683,3.643,,,,
1132,2.187,3.651,,,,
1133,1.817,2.296,,,,
1134,0.302,0.506,,,,
1135,0.261,0.312,,,,
1136,-0.274,-0.525,,,,
1137,1.495,1.667,,,,
1138,1.719,2.339,,,,
1139,1.520,3.092,,,,
1140,2.454,3.504,,,,
1141,-0.387,-0.913,,,,
1142,0.583,0.108,,,,
1143,0.899,1.916,,,,
1144,-0.146,0.026,,,,
1145,1.907,2.720,,,,
1146,1.565,2.329,,,,
1147,2.131,3.307,,,,
1148,1.675,2.561,,,,
1149,2.250,2.811,,,,
1150,1.382,2.329,,,,
1151,0.780,1.400,,,,
1152,1.366,3.188,,,,
1153,2.021,2.910,,,,
1154,3.168,4.568,,,,
1155,0.470,0.597,,,,
1156,-0.683,-2.199,,,,
1157,1.607,2.316,,,,
1158,1.890,2.775,,,,
1159,-1.215,-2.868,,,,
1160,0.067,-0.163,,,,
1161,1.477,2.758,,,,
1162,1.513,1.924,,,,
1163,0.417,0.401,,,,
1164,1.779,2.627,,,,
1165,1.033,0.910,,,,
1166,1.263,1.570,,,,
1167,0.566,0.860,,,,
1168,0.582,1.248,,,,
1169,0.793,0.488,,,,
1170,1.595,1.896,,,,
1171,0.624,0.910,,,,
1172,-0.099,-0.143,,,,
1173,0.892,0.901,,,,
1174,0.312,-0.045,,,,
1175,2.122,3.407,,,,
1176,2.726,3.332,,,,
1177,1.142,1.536,,,,
1178,1.121,1.245,,,,
1179,0.254,0.237,,,,
1180,1.541,2.376,,,,
1181,0.730,1.223,,,,
1182,2.993,4.257,,,,
1183,0.667,1.177,,,,
1184,1.481,2.026,,,,
1185,1.570,2.127,,,,
1186,0.276,0.809,,,,
1187,1.598,2.308,,,,
1188,2.109,3.390,,,,
1189,1.860,3.052,,,,
1190,-0.206,-0.753,,,,
1191,1.393,1.585,,,,
1192,-0.699,-1.117,,,,
1193,1.558,1.696,,,,
1194,2.479,3.777,,,,
1195,-0.029,1.101,,,,
1196,2.317,3.067,,,,
1197,2.592,3.476,,,,
1198,0.765,1.994,,,,
1199,-0.539,-1.503,,,,
1200,0.947,1.605,,,,
1201,0.767,1.325,,,,
1202,1.527,2.358,,,,
1203,1.771,1.594,,,,
1204,2.808,4.655,,,,
1205,0.936,0.737,,,,
1206,-0.513,-1.110,,,,
1207,2.167,2.956,,,,
1208,2.552,2.852,,,,
1209,0.932,2.189,,,,
1210,1.699,3.000,,,,
1211,-0.886,-1.345,,,,
1212,0.740,1.276,,,,
1213,0.373,1.095,,,,
1214,0.729,0.476,,,,
1215,0.090,1.000,,,,
1216,1.004,1.517,,,,
1217,2.880,3.533,,,,
1218,3.006,4.418,,,,
1219,0.932,0.766,,,,
1220,0.945,1.566,,,,
1221,2.293,3.888,,,,
1222,2.491,3.975,,,,
1223,2.014,2.635,,,,
1224,0.071,0.160,,,,
1225,1.601,2.685,,,,
1226,-0.213,-0.408,,,,
1227,0.280,0.464,,,,
1228,0.248,0.922,,,,
1229,1.153,1.688,,,,
1230,-0.202,0.975,,,,
1231,0.553,0.437,,,,
1232,1.195,2.142,,,,
1233,2.231,1.989,,,,
1234,0.644,0.563,,,,
1235,-0.137,-0.160,,,,
1236,1.088,1.580,,,,
1237,1.312,1.868,,,,
1238,0.585,0.457,,,,
1239,2.236,2.961,,,,
1240,-0.879,-1.693,,,,
1241,1.976,2.338,,,,
1242,0.317,1.069,,,,
1243,1.111,1.234,,,,
1244,0.647,-0.097,,,,
1245,0.185,0.438,,,,
1246,-0.747,-1.120,,,,
1247,1.362,0.960,,,,
1248,2.182,3.174,,,,
1249,2.047,2.427,,,,
1250,0.582,0.860,,,,
1251,-1.221,-2.667,,,,
1252,2.254,3.407,,,,
1253,0.951,1.404,,,,
1254,-0.098,0.177,,,,
1255,0.522,0.956,,,,
1256,0.917,1.354,,,,
1257,-0.669,-1.600,,,,
1258,-0.041,-0.266,,,,
1259,1.544,2.547,,,,
1260,1.199,1.215,,,,
1261,-1.091,-1.518,,,,
1262,0.243,-0.098,,,,
1263,2.028,2.240,,,,
1264,-0.274,-0.203,,,,
1265,1.475,1.971,,,,
1266,1.275,1.104,,,,
1267,0.059,-0.055,,,,
1268,1.128,1.716,,,,
1269,1.194,1.566,,,,
1270,1.198,0.650,,,,
1271,1.975,3.010,,,,
1272,2.084,3.272,,,,
1273,1.418,1.874,,,,
1274,2.255,3.429,,,,
1275,-0.056,-0.092,,,,
1276,0.963,1.272,,,,
1277,1.087,2.137,,,,
1278,-0.315,-0.110,,,,
1279,2.249,3.649,,,,
1280,1.825,2.463,,,,
1281,1.121,1.956,,,,
1282,0.737,0.105,,,,
1283,0.254,0.534,,,,
1284,-0.935,-1.494,,,,
1285,0.451,0.390,,,,
1286,1.106,1.713,,,,
1287,1.453,1.282,,,,
1288,-0.955,-0.604,,,,
1289,0.441,0.040,,,,
1290,2.781,5.467,,,,
1291,1.878,2.923,,,,
1292,1.091,2.052,,,,
1293,1.098,1.731,,,,
1294,-1.276,-1.821,,,,
1295,1.420,2.255,,,,
1296,1.829,2.949,,,,
1297,2.096,3.794,,,,
1298,0.305,1.772,,,,
1299,-0.979,-1.208,,,,
1300,1.049,1.913,,,,
1301,1.750,3.612,,,,
1302,0.143,-0.426,,,,
1303,-0.036,0.409,,,,
1304,0.852,1.706,,,,
1305,1.055,1.444,,,,
1306,1.612,3.049,,,,
1307,1.854,2.075,,,,
1308,0.168,1.859,,,,
1309,0.174,0.308,,,,
1310,0.958,1.670,,,,
1311,1.088,1.554,,,,
1312,2.204,3.403,,,,
1313,0.718,1.443,,,,
1314,2.466,4.077,,,,
1315,1.095,1.226,,,,
1316,1.913,2.667,,,,
1317,1.687,2.007,,,,
1318,-0.119,0.314,,,,
1319,-0.536,0.251,,,,
1320,-0.285,-0.141,,,,
1321,1.958,2.986,,,,
1322,-0.961,-0.992,,,,
1323,1.079,1.336,,,,
1324,1.337,2.411,,,,
1325,1.218,1.663,,,,
1326,1.809,2.840,,,,
1327,0.509,0.953,,,,
1328,1.600,1.487,,,,
1329,0.544,0.137,,,,
1330,1.535,2.601,,,,
1331,-0.251,-0.652,,,,
1332,1.010,1.457,,,,
1333,2.107,3.148,,,,
1334,1.267,1.988,,,,
1335,0.683,1.351,,,,
1336,1.523,2.253,,,,
1337,2.114,4.045,,,,
1338,0.626,0.968,,,,
1339,0.548,1.306,,,,
1340,1.086,1.521,,,,
1341,0.061,-0.170,,,,
1342,0.180,-0.274,,,,
1343,1.184,3.243,,,,
1344,0.550,0.396,,,,
1345,1.585,1.990,,,,
1346,-0.272,-1.325,,,,
1347,0.785,1.259,,,,
1348,2.387,3.477,,,,
1349,-0.129,0.702,,,,
1350,0.988,1.793,,,,
1351,1.311,1.126,,,,
1352,0.327,1.004,,,,
1353,2.107,2.949,,,,
1354,-0.693,-0.981,,,,
1355,0.704,1.379,,,,
1356,1.792,3.500,,,,
1357,1.979,2.770,,,,
1358,1.271,1.715,,,,
1359,1.200,2.479,,,,
1360,0.216,0.535,,,,
1361,0.923,2.091,,,,
1362,2.198,2.571,,,,
1363,0.186,1.218,,,,
1364,0.835,0.780,,,,
1365,2.530,3.593,,,,
1366,2.635,4.327,,,,
1367,1.370,1.764,,,,
1368,0.433,1.185,,,,
1369,0.343,1.096,,,,
1370,0.615,0.297,,,,
1371,-0.830,-0.641,,,,
1372,0.773,0.606,,,,
1373,0.832,1.583,,,,
1374,0.693,0.414,,,,
1375,1.753,1.876,,,,
1376,0.465,0.944,,,,
1377,-0.246,0.300,,,,
1378,-0.033,0.045,,,,
1379,1.264,1.970,,,,
1380,1.367,2.476,,,,
1381,-1.835,-2.302,,,,
1382,1.417,2.282,,,,
1383,0.811,1.922,,,,
1384,0.885,0.436,,,,
1385,2.196,2.474,,,,
1386,0.914,1.717,,,,
1387,0.267,0.668,,,,
1388,0.684,1.202,,,,
1389,1.092,1.025,,,,
1390,1.617,2.023,,,,
1391,0.716,1.635,,,,
1392,1.192,2.407,,,,
1393,-0.631,-2.228,,,,
1394,2.055,3.249,,,,
1395,1.293,2.452,,,,
1396,1.670,2.038,,,,
1397,0.331,0.290,,,,
1398,1.440,2.225,,,,
1399,1.599,1.820,,,,
1400,0.921,1.486,,,,
1401,1.165,1.227,,,,
1402,0.592,0.723,,,,
1403,0.512,0.633,,,,
1404,-0.407,-1.089,,,,
1405,2.603,3.815,,,,
1406,1.856,4.051,,,,
1407,1.610,2.678,,,,
1408,-0.286,0.685,,,,
1409,2.228,3.911,,,,
1410,0.393,0.850,,,,
1411,0.873,1.498,,,,
1412,-0.141,-0.580,,,,
1413,0.351,1.414,,,,
1414,1.269,1.515,,,,
1415,-0.558,-0.733,,,,
1416,-1.157,-2.470,,,,
1417,-0.426,0.221,,,,
1418,1.416,1.817,,,,
1419,0.018,0.148,,,,
1420,-0.001,-0.633,,,,
1421,-0.073,-0.180,,,,
1422,0.858,0.999,,,,
1423,2.948,4.460,,,,
1424,1.739,2.139,,,,
1425,0.485,1.248,,,,
1426,1.510,1.878,,,,
1427,-0.432,-0.740,,,,
1428,3.327,5.373,,,,
1429,1.770,2.772,,,,
1430,2.141,2.746,,,,
1431,-0.526,-0.476,,,,
1432,-0.226,-0.665,,,,
1433,0.370,0.673,,,,
1434,0.848,1.921,,,,
1435,0.945,1.143,,,,
1436,1.560,2.874,,,,
1437,1.205,1.006,,,,
1438,1.284,2.041,,,,
1439,0.248,0.253,,,,
1440,1.504,1.369,,,,
1441,0.338,0.757,,,,
1442,-0.688,-1.326,,,,
1443,1.041,1.338,,,,
1444,-0.073,0.785,,,,
1445,-0.092,0.286,,,,
1446,1.252,2.726,,,,
1447,1.564,2.244,,,,
1448,3.048,4.383,,,,
1449,-0.179,-1.119,,,,
1450,1.417,2.017,,,,
1451,-0.047,-0.364,,,,
1452,1.503,2.071,,,,
1453,1.879,3.073,,,,
1454,0.844,1.286,,,,
1455,-0.642,-0.990,,,,
1456,0.885,1.378,,,,
1457,1.248,2.233,,,,
1458,1.728,2.170,,,,
1459,0.903,1.559,,,,
1460,1.253,1.933,,,,
1461,1.807,2.585,,,,
1462,0.964,1.535,,,,
1463,0.897,1.013,,,,
1464,1.401,1.888,,,,
1465,0.545,1.396,,,,
1466,2.138,3.073,,,,
1467,0.963,1.509,,,,
1468,0.546,1.634,,,,
1469,-0.239,-0.504,,,,
1470,-0.431,-1.772,,,,
1471,1.843,2.787,,,,
1472,-0.226,-0.056,,,,
1473,0.440,0.977,,,,
1474,1.083,1.961,,,,
1475,1.870,2.887,,,,
1476,2.619,4.777,,,,
1477,2.485,3.925,,,,
1478,1.892,3.318,,,,
1479,1.336,1.641,,,,
1480,1.154,1.219,,,,
1481,2.129,3.139,,,,
1482,1.422,2.593,,,,
1483,2.285,3.359,,,,
1484,-0.239,-0.396,,,,
1485,0.875,2.109,,,,
1486,1.840,3.292,,,,
1487,1.742,1.577,,,,
1488,0.759,1.028,,,,
1489,2.058,3.295,,,,
1490,-1.006,-0.926,,,,
1491,-0.169,-0.732,,,,
1492,-0.496,-0.994,,,,
1493,0.576,1.471,,,,
1494,2.163,3.063,,,,
1495,3.133,5.431,,,,
1496,0.536,0.700,,,,
1497,0.759,1.238,,,,
1498,-0.051,-0.287,,,,
1499,1.091,1.841,,,,
1500,1.361,2.020,,,,
1501,3.339,5.600,,,,
1502,1.255,1.172,,,,
1503,0.093,1.040,,,,
1504,1.901,2.583,,,,
1505,1.006,2.317,,,,
1506,0.408,0.475,,,,
1507,0.489,-0.372,,,,
1508,1.132,1.237,,,,
1509,1.723,2.499,,,,
1510,0.193,0.825,,,,
1511,1.514,1.941,,,,
1512,1.622,1.682,,,,
1513,-1.451,-2.393,,,,
1514,-0.188,-1.178,,,,
1515,1.142,1.153,,,,
1516,2.824,3.667,,,,
1517,-0.540,-0.416,,,,
1518,0.894,1.776,,,,
1519,-1.250,-2.213,,,,
1520,1.010,2.070,,,,
1521,2.738,3.927,,,,
1522,1.316,2.106,,,,
1523,-0.057,-0.950,,,,
1524,1.058,1.359,,,,
1525,1.896,2.591,,,,
1526,3.379,5.578,,,,
1527,1.327,2.818,,,,
1528,0.607,0.754,,,,
1529,-0.374,-0.571,,,,
1530,-0.569,-0.432,,,,
1531,2.306,3.346,,,,
1532,1.512,2.275,,,,
1533,1.190,1.443,,,,
1534,0.077,0.862,,,,
1535,0.198,0.331,,,,
1536,0.166,0.882,,,,
1537,0.240,0.240,,,,
1538,2.377,3.870,,,,
1539,0.852,1.215,,,,
1540,0.663,0.315,,,,
1541,0.046,-0.070,,,,
1542,1.396,1.508,,,,
1543,0.971,1.183,,,,
1544,-0.602,-1.459,,,,
1545,1.587,1.657,,,,
1546,1.884,1.425,,,,
1547,-0.025,0.311,,,,
1548,-0.340,-0.363,,,,
1549,0.735,1.801,,,,
1550,1.854,2.259,,,,
1551,1.395,2.695,,,,
1552,2.141,2.414,,,,
1553,0.070,-0.066,,,,
1554,0.483,0.815,,,,
1555,3.068,4.527,,,,
1556,2.121,2.438,,,,
1557,0.393,0.630,,,,
1558,1.054,2.899,,,,
1559,1.641,2.718,,,,
1560,1.025,1.636,,,,
1561,1.013,1.191,,,,
1562,0.789,0.623,,,,
1563,0.542,0.762,,,,
1564,0.887,1.216,,,,
1565,-1.184,-1.925,,,,
1566,0.773,1.302,,,,
1567,1.442,2.545,,,,
1568,3.565,5.911,,,,
1569,1.284,1.656,,,,
1570,1.537,2.286,,,,
1571,0.806,1.646,,,,
1572,0.925,1.598,,,,
1573,1.908,3.243,,,,
1574,1.779,3.606,,,,
1575,-0.446,-0.878,,,,
1576,1.391,1.993,,,,
1577,1.158,2.361,,,,
1578,2.327,4.079,,,,
1579,3.016,4.211,,,,
1580,0.327,0.162,,,,
1581,1.851,2.563,,,,
1582,0.350,-0.188,,,,
1583,3.272,5.031,,,,
1584,0.742,1.163,,,,
1585,2.309,3.565,,,,
1586,0.698,0.084,,,,
1587,3.381,5.359,,,,
1588,0.232,0.321,,,,
1589,1.494,1.429,,,,
1590,0.237,0.448,,,,
1591,1.029,1.370,,,,
1592,-0.208,-0.628,,,,
1593,1.809,2.514,,,,
1594,0.887,1.474,,,,
1595,1.289,2.288,,,,
1596,0.949,2.118,,,,
1597,-0.107,0.235,,,,
1598,1.155,2.034,,,,
1599,-0.471,-0.076,,,,
1600,-0.356,0.486,,,,
1601,0.781,1.067,,,,
1602,-1.087,-1.399,,,,
1603,2.852,5.233,,,,
1604,1.308,1.722,,,,
1605,2.317,3.040,,,,
1606,1.665,2.924,,,,
1607,1.235,2.162,,,,
1608,0.143,0.408,,,,
1609,0.465,0.946,,,,
1610,1.939,2.865,,,,
1611,0.703,0.915,,,,
1612,2.950,4.784,,,,
1613,0.375,1.646,,,,
1614,0.712,0.966,,,,
1615,0.304,0.502,,,,
1616,2.147,3.377,,,,
1617,1.386,1.651,,,,
1618,0.729,0.872,,,,
1619,1.286,1.262,,,,
1620,0.396,0.720,,,,
1621,1.541,2.063,,,,
1622,-1.213,-2.618,,,,
1623,3.092,4.635,,,,
1624,0.095,0.523,,,,
1625,-0.477,-1.507,,,,
1626,1.410,2.064,,,,
1627,1.063,1.417,,,,
1628,1.992,4.485,,,,
1629,1.134,1.414,,,,
1630,0.756,1.669,,,,
1631,-0.193,-1.733,,,,
1632,0.389,1.542,,,,
1633,0.637,0.745,,,,
1634,-0.374,-0.426,,,,
1635,-0.204,-0.257,,,,
1636,0.646,1.718,,,,
1637,0.462,1.145,,,,
1638,1.001,1.189,,,,
1639,1.398,1.791,,,,
1640,-0.591,-0.286,,,,
1641,1.383,1.452,,,,
1642,1.929,3.405,,,,
1643,0.540,0.433,,,,
1644,0.956,1.810,,,,
1645,1.117,2.045,,,,
1646,2.353,2.804,,,,
1647,3.178,4.624,,,,
1648,0.585,1.081,,,,
1649,0.841,0.903,,,,
1650,1.366,2.805,,,,
1651,1.098,1.651,,,,
1652,0.862,1.374,,,,
1653,1.379,1.504,,,,
1654,0.509,0.331,,,,
1655,2.376,4.021,,,,
1656,1.607,3.498,,,,
1657,0.924,1.288,,,,
1658,0.887,1.034,,,,
1659,0.908,1.081,,,,
1660,-0.636,-0.647,,,,
1661,1.216,1.404,,,,
1662,0.748,0.756,,,,
1663,-0.718,-0.256,,,,
1664,-0.021,-0.242,,,,
1665,-0.846,-1.423,,,,
1666,-0.158,-0.250,,,,
1667,-0.478,-0.514,,,,
1668,0.758,1.430,,,,
1669,0.987,1.179,,,,
1670,1.665,2.638,,,,
1671,1.368,2.992,,,,
1672,0.924,2.045,,,,
1673,2.457,4.057,,,,
1674,2.047,2.885,,,,
1675,1.843,3.088,,,,
1676,-0.038,-0.420,,,,
1677,1.052,2.801,,,,
1678,0.848,0.863,,,,
1679,0.728,1.458,,,,
1680,2.465,3.272,,,,
1681,0.941,0.116,,,,
1682,0.394,0.449,,,,
1683,0.340,-0.105,,,,
1684,1.209,1.540,,,,
1685,1.682,3.359,,,,
1686,0.720,0.443,,,,
1687,3.668,5.559,,,,
1688,0.404,1.100,,,,
1689,1.135,2.077,,,,
1690,0.355,1.210,,,,
1691,1.722,1.776,,,,
1692,0.308,1.285,,,,
1693,2.217,3.667,,,,
1694,2.462,4.696,,,,
1695,-0.115,-0.747,,,,
1696,0.874,0.559,,,,
1697,0.680,1.498,,,,
1698,2.312,3.792,,,,
1699,-0.119,0.978,,,,
1700,0.512,1.029,,,,
1701,1.414,2.331,,,,
1702,0.561,0.098,,,,
1703,0.472,0.844,,,,
1704,2.556,3.493,,,,
1705,0.958,1.567,,,,
1706,2.021,2.425,,,,
1707,1.784,2.620,,,,
1708,1.487,2.927,,,,
1709,1.057,1.832,,,,
1710,0.467,0.785,,,,
1711,0.677,0.479,,,,
1712,2.058,3.061,,,,
1713,-0.114,0.179,,,,
1714,0.758,0.281,,,,
1715,-0.021,0.986,,,,
1716,0.419,0.676,,,,
1717,0.940,1.619,,,,
1718,0.277,0.727,,,,
1719,1.550,2.700,,,,
1720,0.203,-0.544,,,,
1721,0.788,0.141,,,,
1722,1.300,2.076,,,,
1723,0.875,1.088,,,,
1724,-1.829,-3.860,,,,
1725,0.390,0.601,,,,
1726,0.120,0.527,,,,
1727,2.007,2.110,,,,
1728,1.512,2.171,,,,
1729,0.135,0.604,,,,
1730,1.563,3.009,,,,
1731,0.247,0.861,,,,
1732,-0.231,0.459,,,,
1733,0.730,1.042,,,,
1734,0.529,1.297,,,,
1735,3.984,5.780,,,,
1736,1.430,2.048,,,,
1737,1.385,2.244,,,,
1738,0.822,1.560,,,,
1739,0.537,0.178,,,,
1740,1.562,2.233,,,,
1741,1.494,1.866,,,,
1742,-0.238,-1.053,,,,
1743,1.038,1.566,,,,
1744,0.461,-0.159,,,,
1745,-0.019,1.307,,,,
1746,2.446,3.953,,,,
1747,1.417,2.403,,,,
1748,1.135,1.871,,,,
1749,-0.232,-1.082,,,,
1750,0.946,1.826,,,,
1751,2.202,4.008,,,,
1752,1.042,2.309,,,,
1753,1.155,1.478,,,,
1754,1.327,1.601,,,,
1755,-0.233,-0.263,,,,
1756,1.398,1.699,,,,
1757,1.018,0.352,,,,
1758,1.970,2.709,,,,
1759,0.305,0.422,,,,
1760,0.987,1.928,,,,
1761,1.524,2.725,,,,
1762,0.484,0.002,,,,
1763,1.829,2.848,,,,
1764,3.168,4.233,,,,
1765,2.825,4.795,,,,
1766,1.941,2.639,,,,
1767,0.183,-0.151,,,,
1768,0.512,0.492,,,,
1769,0.854,1.567,,,,
1770,0.711,1.617,,,,
1771,1.470,2.180,,,,
1772,2.190,2.585,,,,
1773,0.736,0.634,,,,
1774,-0.047,-0.302,,,,
1775,1.448,1.881,,,,
1776,0.782,0.552,,,,
1777,0.525,0.971,,,,
1778,1.651,2.113,,,,
1779,0.967,1.464,,,,
1780,1.787,3.036,,,,
1781,0.638,1.278,,,,
1782,1.867,2.374,,,,
1783,1.880,2.583,,,,
1784,0.318,0.502,,,,
1785,0.300,0.180,,,,
1786,1.378,2.867,,,,
1787,1.871,3.509,,,,
1788,1.718,3.082,,,,
1789,-0.148,-1.180,,,,
1790,1.151,1.800,,,,
1791,-0.143,0.118,,,,
1792,0.189,0.447,,,,
1793,0.290,1.502,,,,
1794,0.259,0.344,,,,
1795,0.641,1.399,,,,
1796,0.551,1.080,,,,
1797,1.916,2.884,,,,
1798,-1.628,-2.666,,,,
1799,0.400,0.582,,,,
1800,0.859,1.627,,,,
1801,1.184,1.822,,,,
1802,0.881,1.059,,,,
1803,1.040,0.855,,,,
1804,3.825,6.051,,,,
1805,0.370,0.670,,,,
1806,-0.417,-0.990,,,,
1807,0.459,0.967,,,,
1808,0.990,1.874,,,,
1809,-0.127,0.371,,,,
1810,1.195,1.830,,,,
1811,1.543,2.055,,,,
1812,-1.117,-1.233,,,,
1813,0.563,1.865,,,,
1814,2.123,3.620,,,,
1815,0.293,0.081,,,,
1816,1.230,2.429,,,,
1817,2.856,4.355,,,,
1818,0.878,0.751,,,,
1819,1.090,1.495,,,,
1820,0.581,1.038,,,,
1821,-0.409,-0.090,,,,
1822,1.255,1.708,,,,
1823,0.202,0.741,,,,
1824,-1.020,-1.438,,,,
1825,2.653,3.744,,,,
1826,0.643,0.379,,,,
1827,2.000,2.846,,,,
1828,0.514,0.268,,,,
1829,0.328,-0.414,,,,
1830,0.618,0.346,,,,
1831,0.255,1.088,,,,
1832,1.326,1.450,,,,
1833,1.013,0.425,,,,
1834,1.804,2.587,,,,
1835,0.491,1.443,,,,
1836,1.741,3.396,,,,
1837,0.286,1.104,,,,
1838,1.077,1.414,,,,
1839,0.085,0.065,,,,
1840,0.115,0.668,,,,
1841,1.437,1.982,,,,
1842,2.705,3.480,,,,
1843,0.330,0.279,,,,
1844,1.002,1.841,,,,
1845,0.046,-0.085,,,,
1846,-0.057,-0.727,,,,
1847,0.423,0.246,,,,
1848,1.353,1.385,,,,
1849,0.382,0.998,,,,
1850,0.650,0.852,,,,
1851,1.363,1.886,,,,
1852,2.398,3.686,,,,
1853,1.297,2.163,,,,
1854,0.915,0.829,,,,
1855,0.779,2.090,,,,
1856,0.418,-0.380,,,,
1857,0.989,1.649,,,,
1858,0.156,0.886,,,,
1859,-0.442,-0.499,,,,
1860,1.328,1.977,,,,
1861,1.398,1.900,,,,
1862,0.890,1.499,,,,
1863,1.204,1.756,,,,
1864,3.030,4.388,,,,
1865,-0.122,-0.756,,,,
1866,0.909,2.167,,,,
1867,0.434,1.205,,,,
1868,0.918,0.856,,,,
1869,-0.519,-1.625,,,,
1870,0.146,0.175,,,,
1871,1.537,2.707,,,,
1872,2.427,3.643,,,,
1873,2.293,4.670,,,,
1874,0.502,0.411,,,,
1875,2.973,4.172,,,,
1876,0.361,0.789,,,,
1877,0.140,0.078,,,,
1878,0.944,2.011,,,,
1879,-0.117,-0.206,,,,
1880,2.736,3.757,,,,
1881,0.472,0.176,,,,
1882,2.172,3.106,,,,
1883,-1.631,-1.867,,,,
1884,1.006,1.469,,,,
1885,1.519,2.467,,,,
1886,1.095,1.537,,,,
1887,-0.100,0.308,,,,
1888,0.214,1.296,,,,
1889,1.230,2.216,,,,
1890,-0.453,-0.176,,,,
1891,-0.551,-1.152,,,,
